date,dst,excluded
2018-01-01,-12.849300888959712,False
2018-01-02,-10.975446440237038,False
2018-01-03,-6.870183626649868,False
2018-01-04,-7.2537399208584725,False
2018-01-05,-10.781041901057966,False
2018-01-06,-10.5563100646605,False
2018-01-07,-6.549957649155522,False
2018-01-08,-7.491307365098607,False
2018-01-09,-11.637918452784314,False
2018-01-10,-16.5613281406458,False
2018-01-11,-16.546349611187015,False
2018-01-12,-17.74874069926674,False
2018-01-13,-23.548190906648085,False
2018-01-14,-28.584943222419184,False
2018-01-15,-31.801942425647212,False
2018-01-16,-28.20014592835372,False
2018-01-17,-20.04348526792049,False
2018-01-18,-21.42643145304144,False
2018-01-19,-23.024321777044914,False
2018-01-20,-18.418716031739795,False
2018-01-21,-15.689724931601091,False
2018-01-22,-9.770397307508231,False
2018-01-23,-21.331985128048274,False
2018-01-24,-22.606410824202865,False
2018-01-25,-22.432833284115095,False
2018-01-26,-21.337814848950483,False
2018-01-27,-17.65749187746706,False
2018-01-28,-20.503736995981747,False
2018-01-29,-17.066537685465644,False
2018-01-30,-20.976156207765918,False
2018-01-31,-11.164488710054945,False
2018-02-01,-10.051702609833574,False
2018-02-02,-11.875719876739588,False
2018-02-03,-15.994652966362585,False
2018-02-04,-20.824038667294936,False
2018-02-05,-15.757740571452311,False
2018-02-06,-26.886600715384173,False
2018-02-07,-27.315970311093807,False
2018-02-08,-27.363979747636332,False
2018-02-09,-16.57143293213559,False
2018-02-10,-10.573215611781988,False
2018-02-11,-11.823253684811442,False
2018-02-12,-15.981534787150238,False
2018-02-13,-22.581095873379827,False
2018-02-14,-24.9978795774057,False
2018-02-15,-25.636019878887698,False
2018-02-16,-15.493443012542327,False
2018-02-17,-11.239593020689647,False
2018-02-18,-16.449198558301433,False
2018-02-19,-19.381351585597915,False
2018-02-20,-22.296153865537025,False
2018-02-21,-17.951681245309924,False
2018-02-22,-16.80131196752563,False
2018-02-23,-11.136984755876561,False
2018-02-24,-4.704176278187933,False
2018-02-25,-10.50775152644196,False
2018-02-26,-15.86859911983062,False
2018-02-27,-18.26866587068116,False
2018-02-28,-11.00961526930117,False
2018-03-01,-11.68946271727747,False
2018-03-02,-13.757152349546994,False
2018-03-03,-22.084672754060545,False
2018-03-04,-24.95280229900207,False
2018-03-05,-20.960063102770008,False
2018-03-06,-11.1097630924626,False
2018-03-07,-6.612977082461254,False
2018-03-08,-5.848948780469949,False
2018-03-09,-9.827364794562705,False
2018-03-10,-12.119803326661867,False
2018-03-11,-14.688352496196307,False
2018-03-12,-9.982750330522967,False
2018-03-13,-7.545575468542276,False
2018-03-14,-2.7325832673199066,False
2018-03-15,-19.363709949542763,False
2018-03-16,-15.932795775602058,False
2018-03-17,-21.8431821259054,False
2018-03-18,-12.560231111409891,False
2018-03-19,-15.480798022768775,False
2018-03-20,-34.35365150449267,False
2018-03-21,-34.03630965397925,False
2018-03-22,-32.97490247407428,False
2018-03-23,-8.538661086337,False
2018-03-24,-9.733054408081541,False
2018-03-25,-14.395479105701277,False
2018-03-26,-52.01929217068454,True
2018-03-27,-46.28460282678166,False
2018-03-28,-41.73562397657017,False
2018-03-29,-12.142427905621126,False
2018-03-30,-13.750966643976,False
2018-03-31,-14.677660885222574,False
2018-04-01,-8.684040108022861,False
2018-04-02,-13.545322215985697,False
2018-04-03,-15.24428099976893,False
2018-04-04,-20.687293574429116,False
2018-04-05,-23.73314099144818,False
2018-04-06,-21.238011296798806,False
2018-04-07,-18.625357595550614,False
2018-04-08,-12.750843976452297,False
2018-04-09,-14.873673618211187,False
2018-04-10,-21.579377675132402,False
2018-04-11,-50.00253897403159,True
2018-04-12,-50.435048506638076,True
2018-04-13,-47.9826746153229,False
2018-04-14,-20.22510998965759,False
