date,dst,excluded
2018-01-01,-12.849300888959712,False
2018-01-02,-28.158246201997372,False
2018-01-03,-24.0529833884102,False
2018-01-04,-24.436539682618804,False
2018-01-05,-10.781041901057963,False
2018-01-06,-10.556310064660499,False
2018-01-07,-6.54995764915552,False
2018-01-08,-7.4913073650986055,False
2018-01-09,-11.637918452784312,False
2018-01-10,-16.561328140645795,False
2018-01-11,-16.546349611187015,False
2018-01-12,-17.748740699266737,False
2018-01-13,-23.548190906648077,False
2018-01-14,-28.584943222419184,False
2018-01-15,-31.801942425647212,False
2018-01-16,-28.200145928353717,False
2018-01-17,-20.043485267920488,False
2018-01-18,-21.42643145304144,False
2018-01-19,-23.024321777044914,False
2018-01-20,-18.41871603173979,False
2018-01-21,-15.68972493160109,False
2018-01-22,-9.770397307508228,False
2018-01-23,-21.331985128048274,False
2018-01-24,-22.606410824202857,False
2018-01-25,-22.43283328411509,False
2018-01-26,-21.337814848950472,False
2018-01-27,-17.657491877467056,False
2018-01-28,-20.503736995981743,False
2018-01-29,-30.950039580106633,False
2018-01-30,-34.85965810240691,False
2018-01-31,-25.047990604695936,False
2018-02-01,-10.05170260983357,False
2018-02-02,-11.875719876739582,False
2018-02-03,-15.99465296636258,False
2018-02-04,-20.824038667294932,False
2018-02-05,-15.757740571452308,False
2018-02-06,-26.886600715384166,False
2018-02-07,-27.315970311093803,False
2018-02-08,-27.363979747636325,False
2018-02-09,-16.571432932135586,False
2018-02-10,-10.573215611781983,False
2018-02-11,-32.628689385733914,False
2018-02-12,-36.78697048807271,False
2018-02-13,-43.386531574302296,False
2018-02-14,-24.997879577405698,False
2018-02-15,-25.636019878887694,False
2018-02-16,-49.23590671106849,False
2018-02-17,-44.98205671921581,False
2018-02-18,-50.19166225682759,True
2018-02-19,-19.38135158559791,False
2018-02-20,-22.296153865537022,False
2018-02-21,-17.951681245309924,False
2018-02-22,-44.98185359669878,False
2018-02-23,-39.317526385049696,False
2018-02-24,-32.88471790736107,False
2018-02-25,-10.507751526441956,False
2018-02-26,-15.86859911983062,False
2018-02-27,-18.268665870681158,False
2018-02-28,-11.009615269301165,False
2018-03-01,-11.689462717277467,False
2018-03-02,-13.757152349546992,False
2018-03-03,-22.084672754060545,False
2018-03-04,-24.952802299002062,False
2018-03-05,-20.960063102770004,False
2018-03-06,-11.1097630924626,False
2018-03-07,-6.612977082461252,False
2018-03-08,-5.8489487804699465,False
2018-03-09,-9.827364794562703,False
2018-03-10,-12.119803326661865,False
2018-03-11,-14.688352496196307,False
2018-03-12,-9.982750330522965,False
2018-03-13,-7.545575468542274,False
2018-03-14,-2.7325832673199044,False
2018-03-15,-19.363709949542756,False
2018-03-16,-15.932795775602058,False
